Year,Team,Acquired_Count,Relinquished_Count
2020,Celtics,36.0,0.0
2020,Clippers,26.0,0.0
2020,Grizzlies,0.0,21.0
2020,Hawks,30.0,0.0
2020,Heat,20.0,0.0
2020,Hornets,0.0,14.0
2020,Jazz,22.0,0.0
2020,Kings,15.0,0.0
2020,Knicks,21.0,0.0
2020,Lakers,0.0,19.0
2020,Magic,0.0,19.0
2020,Mavericks,25.0,0.0
2020,Nets,0.0,19.0
2020,Nuggets,0.0,20.0
2020,Pacers,27.0,0.0
2020,Pelicans,0.0,9.0
2020,Pistons,0.0,31.0
2020,Raptors,26.0,0.0
2020,Rockets,27.0,0.0
2020,Spurs,9.0,0.0
2020,Suns,0.0,25.0
2020,Thunder,20.0,0.0
2020,Timberwolves,18.0,0.0
2020,Warriors,22.0,0.0
2020,Wizards,19.0,0.0
2021,76ers,0.0,51.0
2021,Blazers,30.0,0.0
2021,Bucks,48.0,0.0
2021,Bulls,35.0,0.0
2021,Cavaliers,0.0,32.0
2021,Celtics,0.0,59.0
2021,Clippers,0.0,31.0
2021,Grizzlies,37.0,0.0
2021,Hawks,36.0,0.0
2021,Heat,31.0,0.0
2021,Hornets,15.0,0.0
2021,Jazz,40.0,0.0
2021,Kings,22.0,0.0
2021,Knicks,29.0,0.0
2021,Lakers,44.0,0.0
2021,Magic,0.0,40.0
2021,Mavericks,33.0,0.0
2021,Nets,38.0,0.0
2021,Nuggets,30.0,0.0
2021,Pacers,0.0,37.0
2021,Pelicans,22.0,0.0
2021,Pistons,0.0,54.0
2021,Raptors,40.0,0.0
2021,Rockets,0.0,42.0
2021,Spurs,0.0,31.0
2021,Suns,0.0,18.0
2021,Thunder,37.0,0.0
2021,Timberwolves,0.0,19.0
2021,Warriors,0.0,18.0
2021,Wizards,0.0,26.0
2022,76ers,52.0,0.0
2022,Blazers,39.0,0.0
2022,Bucks,65.0,0.0
2022,Bulls,0.0,46.0
2022,Cavaliers,42.0,0.0
2022,Celtics,68.0,0.0
2022,Clippers,0.0,43.0
2022,Grizzlies,0.0,64.0
2022,Hawks,47.0,0.0
2022,Heat,64.0,0.0
2022,Hornets,0.0,37.0
2022,Jazz,56.0,0.0
2022,Kings,0.0,48.0
2022,Knicks,0.0,47.0
2022,Lakers,0.0,38.0
2022,Magic,0.0,40.0
2022,Mavericks,58.0,0.0
2022,Nets,41.0,0.0
2022,Nuggets,44.0,0.0
