Yr,Tm,FG%,3P%,2P%,Age,ORtg,DRtg,NRtg,Pace,3PAr,TS%,eFG%,TOV%,ORB%,eFG%,TOV%,DRB%,Championship
2019,Oklahoma City Thunder,0.44,0.331,0.502,26.2,105.4,111.2,-5.8,99.9,0.365,0.541,0.5,13.5,22.7,0.519,12.7,75.7,N
2019,Orlando Magic,0.388,0.299,0.452,25.9,96.2,111.2,-15,95.7,0.419,0.496,0.451,14.4,20.3,0.55,11.8,82.8,N
2019,Philadelphia 76ers,0.459,0.331,0.522,27.2,109.9,106.8,3.1,98.9,0.331,0.559,0.514,14.4,27.2,0.488,11.4,79.5,N
2019,Portland Trail Blazers,0.436,0.36,0.479,26.6,110.6,112,-1.4,96,0.363,0.541,0.501,11.3,24.4,0.503,11.3,72.4,N
2019,San Antonio Spurs,0.463,0.338,0.501,28.3,112.4,114.5,-2.1,91.9,0.233,0.542,0.503,8.1,24.2,0.516,8.7,76.8,N
2019,Toronto Raptors,0.444,0.346,0.512,28.4,110,104.4,5.6,96,0.406,0.561,0.514,11.2,18.9,0.491,14,77.7,Y
2019,Utah Jazz,0.4,0.263,0.498,27,99.2,108.5,-9.3,98.6,0.414,0.501,0.455,13.5,24.9,0.526,13.8,80.5,N
2018,Boston Celtics,0.437,0.343,0.493,24.8,107.7,107,0.7,93.1,0.367,0.541,0.5,11.1,20.4,0.518,12.9,79.5,N
2018,Cleveland Cavaliers,0.45,0.331,0.52,30.3,109.4,111.2,-1.8,91.6,0.37,0.55,0.512,12.1,23.5,0.529,11.5,79.4,N
2018,Golden State Warriors,0.48,0.357,0.55,28.4,113.9,103.6,10.3,96.5,0.365,0.581,0.545,11.9,21.8,0.481,12.3,77.6,Y
2018,Houston Rockets,0.436,0.337,0.522,29.8,109.6,107.7,1.9,95.7,0.466,0.552,0.514,11.3,20,0.53,13.2,80.1,N
2018,Indiana Pacers,0.481,0.358,0.544,26.2,110.9,104.6,6.3,90.7,0.339,0.567,0.542,12.9,21.6,0.503,14.3,77.7,N
2018,Miami Heat,0.442,0.391,0.467,27.5,103,113.7,-10.7,100.4,0.333,0.542,0.507,14.4,20.7,0.514,13.6,70.4,N
2018,Milwaukee Bucks,0.5,0.372,0.563,25.3,108.8,109.4,-0.6,92.3,0.328,0.585,0.561,13.1,14.7,0.503,12.1,75.5,N
2018,Minnesota Timberwolves,0.46,0.413,0.477,27.6,107,116.2,-9.2,95,0.264,0.548,0.515,12,20.1,0.531,7.9,80.3,N
2018,New Orleans Pelicans,0.478,0.366,0.526,26.8,107.1,107.8,-0.7,102.7,0.301,0.562,0.533,12.9,17.7,0.514,12,78.8,N
2018,Oklahoma City Thunder,0.43,0.364,0.462,27.9,103.5,107.9,-4.4,97.8,0.333,0.528,0.49,12.7,20.8,0.521,13.7,75.4,N
2018,Philadelphia 76ers,0.437,0.338,0.486,26.5,110.4,106.5,3.9,97.5,0.331,0.539,0.493,12.6,29.1,0.514,12.7,80.8,N
2018,Portland Trail Blazers,0.453,0.333,0.519,25.6,106.9,116,-9.1,98.7,0.354,0.539,0.512,12.9,23.9,0.582,13,81.1,N
2018,San Antonio Spurs,0.413,0.298,0.471,30.2,103.7,113.1,-9.4,93.3,0.337,0.515,0.463,10.5,18.5,0.535,12.9,73.7,N
2018,Toronto Raptors,0.473,0.39,0.513,26.2,112,116.6,-4.6,94.8,0.324,0.578,0.536,13.1,23.2,0.541,10.5,79.1,N
2018,Utah Jazz,0.455,0.359,0.509,25.6,104.7,106.9,-2.2,97.8,0.361,0.549,0.52,14.3,20.8,0.505,11.6,80.8,N
2018,Washington Wizards,0.466,0.366,0.5,27,110.3,112.3,-2,97.2,0.256,0.561,0.513,12.4,21.2,0.539,13.1,78.1,N
2017,Washington Wizards,0.457,0.317,0.518,26.1,110.9,110.9,0,96.7,0.302,0.549,0.505,12.3,26.6,0.525,13.3,76.2,N
2017,Utah Jazz,0.455,0.365,0.499,27.8,106.2,111.3,-5.1,92.1,0.331,0.552,0.515,12,16.7,0.533,11.4,81.3,N
2017,Toronto Raptors,0.444,0.332,0.491,26.9,103.8,109.9,-6.1,93.1,0.296,0.541,0.493,12.6,17.3,0.539,13.2,81.3,N
2017,San Antonio Spurs,0.462,0.35,0.506,29.5,113.4,112.3,1.1,93.2,0.282,0.551,0.512,11.6,29.1,0.539,13.1,78.5,N
2017,Portland Trail Blazers,0.397,0.324,0.441,24.8,99.3,116.9,-17.6,102.3,0.38,0.507,0.458,13.2,20.6,0.556,11.1,81,N
